Recorder Data Information,Test Reference Number,22_02_21_ETC_TB10_6,Source Frequency,10 Hz,
,Recorder Name,Legislative_Recorder,Destination Frequency,10 Hz,

Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX,
Count= 677,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--,
27,27,22/02/2021 22:03:36:883,115,114,1800,0,1,3,10.4,0.18,0.00,0.00,3,0.84,65,910.5,23.11,36.770,0.00,0.00,0.000,5,1882,0,#####,#####,#####,0.00,#####,37.68,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,61.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-1,10,#####,0.00,#####,24.00,88888,0,5,3,3,
28,28,22/02/2021 22:03:36:983,116,114,1800,0,1,3,8.0,0.17,0.00,0.00,3,0.64,65,910.5,23.11,36.770,0.00,0.00,0.000,5,1882,0,#####,#####,#####,0.00,#####,37.68,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,61.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-1,10,#####,0.00,#####,24.00,88888,0,5,3,3,
29,29,22/02/2021 22:03:37:83,116,115,1800,0,1,3,5.6,0.17,0.00,0.00,3,0.44,65,910.5,23.11,36.780,0.00,0.00,0.000,5,1989,0,#####,#####,#####,0.00,#####,34.54,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,60.000,7979.0,-13,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,24.00,88888,0,5,3,3,
30,30,22/02/2021 22:03:37:183,117,116,1800,0,1,3,3.1,0.18,0.00,0.00,0,0.24,65,910.5,23.11,36.770,0.00,0.00,0.000,5,1989,0,#####,#####,#####,0.00,#####,34.54,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,60.000,7979.0,-13,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,24.00,88888,0,5,3,3,
31,31,22/02/2021 22:03:37:283,116,116,1955,0,1,0,2.9,0.19,0.00,0.00,0,0.22,65,910.5,23.11,36.770,0.00,0.00,0.000,5,1863,0,#####,#####,#####,0.00,#####,38.47,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,64.000,7979.0,-16,1,#####,1,#####,0,0.00,31.00,-1,10,#####,0.00,#####,4.50,88888,0,5,4,4,
32,32,22/02/2021 22:03:37:383,116,116,1955,0,1,0,2.6,0.19,0.00,0.00,0,0.20,65,910.5,23.11,36.770,0.00,0.00,0.000,5,1863,0,#####,#####,#####,0.00,#####,38.47,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,64.000,7979.0,-16,1,#####,1,#####,0,0.00,31.00,-1,10,#####,0.00,#####,4.50,88888,0,5,4,4,
33,33,22/02/2021 22:03:37:483,115,116,1955,0,1,0,2.3,0.18,0.00,0.00,0,0.17,65,910.5,23.11,36.750,0.00,0.00,0.000,5,1600,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,1,10,#####,0.00,#####,5.00,88888,0,5,4,4,
34,34,22/02/2021 22:03:37:583,115,115,1955,0,1,0,2.0,0.17,0.00,0.00,0,0.15,65,910.5,23.11,36.750,0.00,0.00,0.000,5,1600,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,1,10,#####,0.00,#####,5.00,88888,0,5,4,4,
35,35,22/02/2021 22:03:37:683,114,115,1955,0,1,0,1.8,0.17,0.00,0.00,0,0.13,65,910.5,23.11,36.750,0.00,0.00,0.000,5,1640,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,4,4,
36,36,22/02/2021 22:03:37:783,113,114,1649,0,1,0,1.5,0.18,0.00,0.00,0,0.11,65,910.5,23.11,36.750,0.00,0.00,0.000,5,1640,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,4,4,
37,37,22/02/2021 22:03:37:883,113,113,1649,0,1,0,1.2,0.18,0.00,0.00,0,0.08,65,910.5,23.11,36.740,0.00,0.00,0.000,5,1630,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,4,4,
38,38,22/02/2021 22:03:37:983,112,113,1649,0,1,0,0.9,0.18,0.00,0.00,0,0.06,65,910.5,23.11,36.740,0.00,0.00,0.000,5,1630,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,4,4,
