Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX
Count= 678,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--
40,40,22/02/2021 15:32:38:263,111,112,1571,0,1,0,0.4,0.03,0,0,0,0.03,58,907.5,20.96,37.15,0,0,0,5,1541,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,4,4
41,41,22/02/2021 15:32:38:363,114,111,1571,0,1,10,1.2,0.02,0,0,10,0.1,58,907.5,20.96,37.15,0,0,0,5,1541,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,5,5
42,42,22/02/2021 15:32:38:463,118,112,1571,0,1,10,2.2,0.01,0,0,10,0.18,58,907.5,20.96,37.15,0,0,0,5,1557,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,5,5
43,43,22/02/2021 15:32:38:563,122,115,1586,0,1,10,3.2,0.02,0,0,10,0.26,58,907.5,20.96,37.15,0,0,0,5,1557,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,5,5
44,44,22/02/2021 15:32:38:663,125,118,1586,0,1,10,4.2,0.02,0,0,10,0.34,58,907.5,20.96,37.17,0,0,0,5,1624,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,5,5
45,45,22/02/2021 15:32:38:763,129,122,1586,0,1,10,5.1,0.01,0,0,10,0.42,58,907.5,20.96,37.17,0,0,0,5,1624,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,5,5
46,46,22/02/2021 15:32:38:863,133,125,1586,0,1,10,6.1,0,0,0,10,0.5,58,907.5,20.96,37.17,0,0,0,5,1621,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,5,5
47,47,22/02/2021 15:32:38:963,136,129,1586,0,1,10,7.1,0,0,0,10,0.58,58,907.5,20.96,37.18,0,0,0,5,1621,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,5,5
48,48,22/02/2021 15:32:39:63,140,133,1598,0,1,10,8.1,0.02,0,0,10,0.66,58,907.5,20.96,37.18,0,0,0,5,1605,0,#####,#####,#####,0,#####,45.92,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,5,5
49,49,22/02/2021 15:32:39:163,143,136,1598,0,1,10,9,0.02,0,0,10,0.74,58,907.5,20.96,37.16,0,0,0,5,1605,0,#####,#####,#####,0,#####,45.92,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,5,5
50,50,22/02/2021 15:32:39:263,147,140,1598,0,1,1,9.9,0.01,0,0,10,0.81,58,907.5,20.96,37.17,0,0,0,4,1549,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,5,5
51,51,22/02/2021 15:32:39:363,146,144,1598,0,1,0,9.9,0,0,0,42,0.81,58,907.5,20.96,37.17,0,0,0,4,1549,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,6,6
52,52,22/02/2021 15:32:39:463,146,145,1598,0,1,0,9.9,0.02,0,0,42,0,58,907.5,20.96,37.17,0,0,0,4,1570,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,6,6
53,53,22/02/2021 15:32:39:563,146,146,1580,0,1,0,9.9,0.03,0,0,42,0,58,907.5,20.97,37.18,0,0,0,4,1570,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,6,6
54,54,22/02/2021 15:32:39:663,146,146,1580,0,1,0,9.9,0.03,0,0,42,0,58,907.5,20.97,37.18,0,0,0,4,1554,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
55,55,22/02/2021 15:32:39:763,146,146,1580,0,1,0,9.9,0.01,0,0,42,0,58,907.5,20.96,37.18,0,0,0,4,1554,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
56,56,22/02/2021 15:32:39:863,146,146,1580,0,1,0,9.9,0,0,0,42,0,58,907.5,20.96,37.18,0,0,0,4,1578,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
57,57,22/02/2021 15:32:39:963,146,146,1580,0,1,42,0,0.01,0,0,42,0,58,907.5,20.97,37.17,0,0,0,5,1578,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
58,58,22/02/2021 15:32:40:63,205,146,1605,1,1,42,13.9,0.12,0,0,42,1.13,58,907.5,20.97,37.17,0,0,0,5,1573,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
59,59,22/02/2021 15:32:40:163,263,158,1605,1,1,42,27.9,0.11,0,0,42,2.27,58,907.5,20.96,37.18,0,0,0,5,1573,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,2,11,#####,0,#####,5,88888,0,5,6,6
60,60,22/02/2021 15:32:40:263,321,190,1605,1,1,42,41.8,-0.04,0,0,42,3.42,58,907.5,20.96,37.18,0,0,0,5,1644,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,6,6
61,61,22/02/2021 15:32:40:363,331,230,1605,1,1,27,40.5,-0.46,0,0,27,3.56,58,907.5,20.96,37.19,-0.01,0,0,5,1644,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,1,5,7,7
62,62,22/02/2021 15:32:40:463,342,270,1605,1,1,27,39,-0.76,0,0,27,3.75,58,907.5,20.96,37.19,-0.02,0,0,5,1579,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,1,5,7,7
63,63,22/02/2021 15:32:40:563,353,310,1612,1,2,27,37.4,-0.89,0,0,27,3.92,58,907.5,20.96,37.17,-0.03,0,0,5,1579,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,2,5,7,7
64,64,22/02/2021 15:32:40:663,364,340,1612,1,2,27,35.9,-0.91,0,0,27,4.06,58,907.5,20.96,37.17,-0.03,0,0,5,1673,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,2,5,7,7
65,65,22/02/2021 15:32:40:763,375,355,1612,1,2,27,34.4,-0.83,0,0,27,4.19,58,907.5,20.97,37.16,-0.03,0,0,5,1673,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,2,5,7,7
